01001=AGAWAM, MA
08755=TOMS RIVER, NJ
08757=TOMS RIVER, NJ
08758=WARETOWN, NJ
08759=WHITING, NJ
08801=ANNANDALE, NJ
08802=PATTENBURG, NJ
08804=BLOOMSBURY, NJ
08805=BOUND BROOK, NJ
08807=BRIDGEWATER, NJ
08809=CLINTON, NJ
08810=DAYTON, NJ
08812=GREEN BROOK, NJ
08816=EAST BRUNSWICK, NJ
08817=EDISON, NJ
08820=EDISON, NJ
08822=FLEMINGTON, NJ
08823=FRANKLIN PARK, NJ
08824=KENDALL PARK, NJ
08825=FRENCHTOWN, NJ
08826=GLEN GARDNER, NJ
08827=HAMPTON, NJ
08828=HELMETTA, NJ
08829=HIGH BRIDGE, NJ
08830=ISELIN, NJ
08831=JAMESBURG, NJ
08832=KEASBEY, NJ
08833=LEBANON, NJ
08835=MANVILLE, NJ
08836=MARTINSVILLE, NJ
08837=EDISON, NJ
08840=METUCHEN, NJ
08846=MIDDLESEX, NJ
08848=MILFORD, NJ
08850=MILLTOWN, NJ
08852=MONMOUTH JUNCTIO, NJ
08853=NESHANIC STATION, NJ
08854=PISCATAWAY, NJ
08857=OLD BRIDGE, NJ
08859=PARLIN, NJ
08861=PERTH AMBOY, NJ
08863=FORDS, NJ
08865=ALPHA, NJ
08867=PITTSTOWN, NJ
08869=RARITAN, NJ
08872=SAYREVILLE, NJ
08873=SOMERSET, NJ
08876=NORTH BRANCH, NJ
08879=LAURENCE HARBOR, NJ
08880=SOUTH BOUND BROO, NJ
08882=SOUTH RIVER, NJ
08884=SPOTSWOOD, NJ
08886=STEWARTSVILLE, NJ
08887=THREE BRIDGES, NJ
08889=WHITEHOUSE STATI, NJ
08901=NEW BRUNSWICK, NJ
08902=NORTH BRUNSWICK, NJ
08904=HIGHLAND PARK, NJ
10001=NEW YORK, NY
10002=NEW YORK, NY
10003=NEW YORK, NY
10004=GOVERNORS ISLAND, NY
10005=NEW YORK, NY
10006=NEW YORK, NY
10007=NEW YORK, NY
10009=NEW YORK, NY
10010=NEW YORK, NY
10011=NEW YORK, NY
10012=NEW YORK, NY
10013=NEW YORK, NY
10014=NEW YORK, NY
10016=NEW YORK, NY
10017=NEW YORK, NY
10018=NEW YORK, NY
10019=NEW YORK, NY
10020=NEW YORK, NY
10021=NEW YORK, NY
10022=NEW YORK, NY
10023=NEW YORK, NY
10024=NEW YORK, NY
10025=NEW YORK, NY
10026=NEW YORK, NY
10027=NEW YORK, NY
10028=NEW YORK, NY
10029=NEW YORK, NY
10030=NEW YORK, NY
10031=NEW YORK, NY
10032=NEW YORK, NY
10033=NEW YORK, NY
10034=NEW YORK, NY
10035=NEW YORK, NY
10036=NEW YORK, NY
10037=NEW YORK, NY
10038=NEW YORK, NY
10039=NEW YORK, NY
10040=NEW YORK, NY
10044=NEW YORK, NY
10128=NEW YORK, NY
10280=NEW YORK, NY
10301=STATEN ISLAND, NY
10302=STATEN ISLAND, NY
10303=STATEN ISLAND, NY
10304=STATEN ISLAND, NY
10305=STATEN ISLAND, NY
10306=STATEN ISLAND, NY
10307=STATEN ISLAND, NY
10308=STATEN ISLAND, NY
10309=STATEN ISLAND, NY
10310=STATEN ISLAND, NY
10312=STATEN ISLAND, NY
10314=STATEN ISLAND, NY
10451=BRONX, NY
10452=BRONX, NY
10453=BRONX, NY
10454=BRONX, NY
10455=BRONX, NY
10456=BRONX, NY
10457=BRONX, NY
10458=BRONX, NY
10459=BRONX, NY
10460=BRONX, NY
10461=BRONX, NY
10462=BRONX, NY
10463=BRONX, NY
10464=BRONX, NY
10465=BRONX, NY
10466=BRONX, NY
10467=BRONX, NY
10468=BRONX, NY
10469=BRONX, NY
10470=BRONX, NY
10471=BRONX, NY
10472=BRONX, NY
10473=BRONX, NY
10474=BRONX, NY
10475=BRONX, NY
10501=AMAWALK, NY
10502=ARDSLEY, NY
10504=ARMONK, NY
10506=BEDFORD, NY
10507=BEDFORD HILLS, NY
10509=BREWSTER, NY
10510=BRIARCLIFF MANOR, NY
10511=BUCHANAN, NY
10512=CARMEL, NY
10514=CHAPPAQUA, NY
10516=COLD SPRING, NY
10518=CROSS RIVER, NY
10520=CROTON ON HUDSON, NY
10522=DOBBS FERRY, NY
10523=ELMSFORD, NY
10524=GARRISON, NY
10527=GRANITE SPRINGS, NY
10528=HARRISON, NY
10530=HARTSDALE, NY
10532=HAWTHORNE, NY
10533=IRVINGTON, NY
10535=JEFFERSON VALLEY, NY
10536=KATONAH, NY
10537=LAKE PEEKSKILL, NY
10538=LARCHMONT, NY
10541=MAHOPAC, NY
10543=MAMARONECK, NY
10546=MILLWOOD, NY
10547=MOHEGAN LAKE, NY
10548=MONTROSE, NY
10549=MOUNT KISCO, NY
10550=MOUNT VERNON, NY
10552=MOUNT VERNON, NY
10553=MOUNT VERNON, NY
10560=NORTH SALEM, NY
10562=OSSINING, NY
10566=CORTLANDT MANOR, NY
10570=PLEASANTVILLE, NY
10573=RYE BROOK, NY
10576=POUND RIDGE, NY
10577=PURCHASE, NY
10578=PURDYS, NY
10579=PUTNAM VALLEY, NY
10580=RYE, NY
10583=HEATHCOTE, NY
10588=SHRUB OAK, NY
10589=SOMERS, NY
10590=SOUTH SALEM, NY
10591=NORTH TARRYTOWN, NY
10594=THORNWOOD, NY
10595=VALHALLA, NY
10597=WACCABUC, NY
10598=YORKTOWN HEIGHTS, NY
10601=WHITE PLAINS, NY
10603=WHITE PLAINS, NY
10604=EAST WHITE PLAIN, NY
10605=WHITE PLAINS, NY
10606=WHITE PLAINS, NY
10607=WHITE PLAINS, NY
10701=YONKERS, NY
10703=YONKERS, NY
10704=YONKERS, NY
10705=YONKERS, NY
10706=HASTINGS ON HUDS, NY
10707=TUCKAHOE, NY
10708=BRONXVILLE, NY
10709=EASTCHESTER, NY
10710=YONKERS, NY
10801=NEW ROCHELLE, NY
10803=PELHAM, NY
10804=NEW ROCHELLE, NY
10805=NEW ROCHELLE, NY
10901=SUFFERN, NY
10911=BEAR MOUNTAIN, NY
10913=BLAUVELT, NY
10916=CAMPBELL HALL, NY
10917=CENTRAL VALLEY, NY
10918=CHESTER, NY
10919=CIRCLEVILLE, NY
10920=CONGERS, NY
10921=FLORIDA, NY
10923=GARNERVILLE, NY
10924=GOSHEN, NY
10925=GREENWOOD LAKE, NY
10926=HARRIMAN, NY
10927=HAVERSTRAW, NY
10928=HIGHLAND FALLS, NY
10930=HIGHLAND MILLS, NY
10931=HILLBURN, NY
10940=SCOTCHTOWN, NY
10950=MONROE, NY
10952=MONSEY, NY
10954=BARDONIA, NY
10956=NEW CITY, NY
10958=NEW HAMPTON, NY
10960=NYACK, NY
10962=ORANGEBURG, NY
10963=OTISVILLE, NY
10964=PALISADES, NY
10965=PEARL RIVER, NY
10968=PIERMONT, NY
10969=PINE ISLAND, NY
10970=POMONA, NY
10973=SLATE HILL, NY
10974=STERLINGTON, NY
10975=SOUTHFIELDS, NY
10976=SPARKILL, NY
10977=CHESTNUT RIDGE, NY
10980=STONY POINT, NY
10983=TAPPAN, NY
10984=THIELLS, NY
10985=THOMPSON RIDGE, NY
10986=TOMKINS COVE, NY
10987=TUXEDO PARK, NY
10989=VALLEY COTTAGE, NY
10990=WARWICK, NY
10992=WASHINGTONVILLE, NY
10993=WEST HAVERSTRAW, NY
10994=WEST NYACK, NY
10996=WEST POINT, NY
10998=WESTTOWN, NY
11001=FLORAL PARK, NY
11003=ALDEN MANOR, NY
11004=GLEN OAKS, NY
11010=FRANKLIN SQUARE, NY
11020=GREAT NECK, NY
11021=GREAT NECK, NY
11023=GREAT NECK, NY
11024=KINGS POINT CONT, NY
11030=PLANDOME, NY
11040=HILLSIDE MANOR, NY
11042=NEW HYDE PARK, NY
11050=PORT WASHINGTON, NY
11101=ASTORIA, NY
11102=ASTORIA, NY
11103=ASTORIA, NY
11104=SUNNYSIDE, NY
11105=ASTORIA, NY
11106=ASTORIA, NY
11201=BROOKLYN, NY
11203=BROOKLYN, NY
11204=BROOKLYN, NY
11205=BROOKLYN, NY
11206=BROOKLYN, NY
11207=BROOKLYN, NY
11208=BROOKLYN, NY
11209=BROOKLYN, NY
11210=BROOKLYN, NY
11211=BROOKLYN, NY
11212=BROOKLYN, NY
11213=BROOKLYN, NY
11214=BROOKLYN, NY
11215=BROOKLYN, NY
11216=BROOKLYN, NY
11217=BROOKLYN, NY
11218=BROOKLYN, NY
11219=BROOKLYN, NY
11220=BROOKLYN, NY
11221=BROOKLYN, NY
11222=BROOKLYN, NY
11223=BROOKLYN, NY
11224=BROOKLYN, NY
11225=BROOKLYN, NY
11226=BROOKLYN, NY
11228=BROOKLYN, NY
11229=BROOKLYN, NY
11230=BROOKLYN, NY
11231=BROOKLYN, NY
11232=BROOKLYN, NY
11233=BROOKLYN, NY
11234=BROOKLYN, NY
11235=BROOKLYN, NY
11236=BROOKLYN, NY
11237=BROOKLYN, NY
11238=BROOKLYN, NY
11239=BROOKLYN, NY
11251=BROOKLYN NAVY YA, NY
11354=FLUSHING, NY
11355=FLUSHING, NY
11356=COLLEGE POINT, NY
11357=WHITESTONE, NY
11358=FLUSHING, NY
11359=FORT TOTTEN, NY
11360=BAYSIDE, NY
11361=BAYSIDE, NY
11362=LITTLE NECK, NY
11363=LITTLE NECK, NY
11364=FLUSHING, NY
11365=FRESH MEADOWS, NY
11366=FRESH MEADOWS, NY
11367=FLUSHING, NY
11368=CORONA, NY
11369=EAST ELMHURST, NY
11370=EAST ELMHURST, NY
11371=FLUSHING, NY
11372=JACKSON HEIGHTS, NY
11373=JACKSON HEIGHTS, NY
11374=REGO PARK, NY
11375=FOREST HILLS, NY
11377=WOODSIDE, NY
11378=MASPETH, NY
11379=MIDDLE VILLAGE, NY
11385=RIDGEWOOD, NY
11411=CAMBRIA HEIGHTS, NY
11412=KEW GARDENS, NY
11413=SPRINGFIELD GARD, NY
11414=KEW GARDENS, NY
11415=KEW GARDENS, NY
11416=OZONE PARK, NY
11417=OZONE PARK, NY
11418=RICHMOND HILL, NY
11419=S RICHMOND HILL, NY
11420=S OZONE PARK, NY
11421=WOODHAVEN, NY
11422=ROSEDALE, NY
11423=HOLLIS, NY
11426=BELLEROSE, NY
11427=QUEENS VILLAGE, NY
11428=QUEENS VILLAGE, NY
11429=QUEENS VILLAGE, NY
11430=JAMAICA, NY
11432=JAMAICA, NY
11433=JAMAICA, NY
11434=JAMAICA, NY
11435=JAMAICA, NY
11436=JAMAICA, NY
11501=MINEOLA, NY
11507=ALBERTSON, NY
11509=ATLANTIC BEACH, NY
11510=BALDWIN, NY
11514=CARLE PLACE, NY
11516=CEDARHURST, NY
11518=EAST ROCKAWAY, NY
11520=FREEPORT, NY
11530=GARDEN CITY, NY
11542=GLEN COVE, NY
11545=GLEN HEAD, NY
11548=GREENVALE, NY
11550=HEMPSTEAD, NY
11552=WEST HEMPSTEAD, NY
11553=UNIONDALE, NY
11554=EAST MEADOW, NY
11557=HEWLETT, NY
11558=ISLAND PARK, NY
11559=LAWRENCE, NY
11560=LOCUST VALLEY, NY
11561=LONG BEACH, NY
11563=LYNBROOK, NY
11565=MALVERNE, NY
11566=NORTH MERRICK, NY
11568=OLD WESTBURY, NY
11570=ROCKVILLE CENTRE, NY
11572=OCEANSIDE, NY
11575=ROOSEVELT, NY
11576=ROSLYN, NY
11577=ROSLYN HEIGHTS, NY
11579=SEA CLIFF, NY
11580=VALLEY STREAM, NY
11581=NORTH WOODMERE, NY
11590=WESTBURY, NY
11596=WILLISTON PARK, NY
11598=WOODMERE, NY
11691=FAR ROCKAWAY, NY
11692=FAR ROCKAWAY, NY
11693=FAR ROCKAWAY, NY
11694=FAR ROCKAWAY, NY
11696=INWOOD, NY
11697=FAR ROCKAWAY, NY
11701=AMITYVILLE, NY
11702=OAK BEACH, NY
11703=NORTH BABYLON, NY
11704=WEST BABYLON, NY
11705=BAYPORT, NY
11706=KISMET, NY
11709=BAYVILLE, NY
11710=NORTH BELLMORE, NY
11713=BELLPORT, NY
11714=BETHPAGE, NY
11715=BLUE POINT, NY
11716=BOHEMIA, NY
11717=WEST BRENTWOOD, NY
11718=BRIGHTWATERS, NY
11719=BROOKHAVEN, NY
11720=CENTEREACH, NY
11721=CENTERPORT, NY
11722=CENTRAL ISLIP, NY
11724=COLD SPRING HARB, NY
11725=COMMACK, NY
11726=COPIAGUE, NY
11727=CORAM, NY
11729=DEER PARK, NY
11730=EAST ISLIP, NY
11731=ELWOOD, NY
11732=EAST NORWICH, NY
11733=SETAUKET, NY
11735=SOUTH FARMINGDAL, NY
11738=FARMINGVILLE, NY
11740=GREENLAWN, NY
11741=HOLBROOK, NY
11742=HOLTSVILLE, NY
11743=HALESITE, NY
11746=DIX HILLS, NY
11747=MELVILLE, NY
11751=ISLIP, NY
11752=ISLIP TERRACE, NY
11753=JERICHO, NY
11754=KINGS PARK, NY
11755=LAKE GROVE, NY
11756=LEVITTOWN, NY
11757=LINDENHURST, NY
11758=NORTH MASSAPEQUA, NY
11762=MASSAPEQUA PARK, NY
11763=MEDFORD, NY
11764=MILLER PLACE, NY
11765=MILL NECK, NY
11766=MOUNT SINAI, NY
11767=NESCONSET, NY
11768=NORTHPORT, NY
11769=OAKDALE, NY
11771=OYSTER BAY, NY
11772=DAVIS PARK, NY
11776=PORT JEFFERSON S, NY
11777=PORT JEFFERSON, NY
11778=ROCKY POINT, NY
11779=LAKE RONKONKOMA, NY
11780=SAINT JAMES, NY
11782=CHERRY GROVE, NY
11783=SEAFORD, NY
11784=SELDEN, NY
11786=SHOREHAM, NY
11787=SMITHTOWN, NY
11788=HAUPPAUGE, NY
11789=SOUND BEACH, NY
11790=STONY BROOK, NY
11791=SYOSSET, NY
11792=WADING RIVER, NY
11793=WANTAGH, NY
11794=SUNY STONY BROOK, NY
11795=WEST ISLIP, NY
11796=WEST SAYVILLE, NY
11797=WOODBURY, NY
11798=WHEATLEY HEIGHTS, NY
11801=HICKSVILLE, NY
11803=PLAINVIEW, NY
11804=OLD BETHPAGE, NY
11901=RIVERHEAD, NY
11933=CALVERTON, NY
11934=CENTER MORICHES, NY
11935=CUTCHOGUE, NY
11937=EAST HAMPTON, NY
11939=EAST MARION, NY
11940=EAST MORICHES, NY
11941=EASTPORT, NY
11942=EAST QUOGUE, NY
11944=GREENPORT, NY
11946=HAMPTON BAYS, NY
11948=LAUREL, NY
11949=MANORVILLE, NY
11950=MASTIC, NY
11951=MASTIC BEACH, NY
11952=MATTITUCK, NY
11953=MIDDLE ISLAND, NY
11954=MONTAUK, NY
11955=MORICHES, NY
11957=ORIENT, NY
11961=RIDGE, NY
11963=SAG HARBOR, NY
11964=SHELTER ISLAND, NY
11965=SHELTER ISLAND H, NY
11967=SHIRLEY, NY
11968=SOUTHAMPTON, NY
11971=SOUTHOLD, NY
11976=WATER MILL, NY
11977=WESTHAMPTON, NY
11978=WESTHAMPTON BEAC, NY
11980=YAPHANK, NY
12007=ALCOVE, NY
12008=ALPLAUS, NY
12009=ALTAMONT, NY
12010=WEST CHARLTON, NY
12015=ATHENS, NY
12017=AUSTERLITZ, NY
12018=AVERILL PARK, NY
12019=BALLSTON LAKE, NY
12020=BALLSTON SPA, NY
12022=BERLIN, NY
12023=BERNE, NY
12024=BRAINARD, NY
12025=BROADALBIN, NY
12027=BURNT HILLS, NY
12028=BUSKIRK, NY
12029=CANAAN, NY
12031=CARLISLE, NY
12032=CAROGA LAKE, NY
12033=CASTLETON ON HUD, NY
12035=CENTRAL BRIDGE, NY
12036=CHARLOTTEVILLE, NY
12037=CHATHAM, NY
12041=CLARKSVILLE, NY
12042=CLIMAX, NY
12043=COBLESKILL, NY
12046=COEYMANS HOLLOW, NY
12047=COHOES, NY
12051=COXSACKIE, NY
12052=CROPSEYVILLE, NY
12053=DELANSON, NY
12054=DELMAR, NY
12055=DORMANSVILLE, NY
12056=DUANESBURG, NY
12057=WHITE CREEK, NY
12058=EARLTON, NY
12059=EAST BERNE, NY
12060=EAST CHATHAM, NY
12061=EAST GREENBUSH, NY
12062=EAST NASSAU, NY
12064=EAST WORCESTER, NY
12065=CLIFTON PARK, NY
12066=ESPERANCE, NY
12067=FEURA BUSH, NY
12068=FONDA, NY
12070=FORT JOHNSON, NY
12071=FULTONHAM, NY
12072=FULTONVILLE, NY
12074=GALWAY, NY
12075=GHENT, NY
12076=GILBOA, NY
12077=GLENMONT, NY
12078=GLOVERSVILLE, NY
12083=GREENVILLE, NY
12084=GUILDERLAND, NY
12086=HAGAMAN, NY
12087=HANNACROIX, NY
12090=HOOSICK FALLS, NY
12092=HOWES CAVE, NY
12093=JEFFERSON, NY
12094=JOHNSONVILLE, NY
12095=JOHNSTOWN, NY
12106=KINDERHOOK, NY
12108=LAKE PLEASANT, NY
12110=LATHAM, NY
12113=LAWYERSVILLE, NY
12115=MALDEN BRIDGE, NY
12116=MARYLAND, NY
12117=MAYFIELD, NY
12118=MECHANICVILLE, NY
12120=MEDUSA, NY
12121=MELROSE, NY
12122=MIDDLEBURGH, NY
12123=NASSAU, NY
12125=NEW LEBANON, NY
12130=NIVERVILLE, NY
12131=NORTH BLENHEIM, NY
12134=EDINBURG, NY
12135=NORTON HILL, NY
12136=OLD CHATHAM, NY
12137=PATTERSONVILLE, NY
12138=TACONIC LAKE, NY
12139=PISECO, NY
12140=POESTENKILL, NY
12143=RAVENA, NY
12144=RENSSELAER, NY
12147=RENSSELAERVILLE, NY
12148=REXFORD, NY
12149=RICHMONDVILLE, NY
12150=ROTTERDAM JUNCTI, NY
12151=ROUND LAKE, NY
12153=SAND LAKE, NY
12154=SCHAGHTICOKE, NY
12155=SCHENEVUS, NY
12156=SCHODACK LANDING, NY
12157=SCHOHARIE, NY
12158=SELKIRK, NY
12159=SLINGERLANDS, NY
12160=SLOANSVILLE, NY
12164=SPECULATOR, NY
12165=SPENCERTOWN, NY
12166=SPRAKERS, NY
12167=STAMFORD, NY
12168=STEPHENTOWN, NY
12169=STEPHENTOWN, NY
12170=STILLWATER, NY
12173=STUYVESANT, NY
12175=SUMMIT, NY
12176=SURPRISE, NY
12180=TROY, NY
12182=TROY, NY
12183=GREEN ISLAND, NY
12184=VALATIE, NY
12185=VALLEY FALLS, NY
12186=VOORHEESVILLE, NY
12187=WARNERVILLE, NY
12188=WATERFORD, NY
12189=WATERVLIET, NY
12190=WELLS, NY
12192=WEST COXSACKIE, NY
12193=WESTERLO, NY
12194=WEST FULTON, NY
12196=WEST SAND LAKE, NY
12197=WORCESTER, NY
12198=WYNANTSKILL, NY
12202=ALBANY, NY
12203=MC KOWNVILLE, NY
12204=ALBANY, NY
12205=ROESSLEVILLE, NY
12206=ALBANY, NY
12207=ALBANY, NY
12208=ALBANY, NY
12209=ALBANY, NY
12210=ALBANY, NY
12211=LOUDONVILLE, NY
12302=MAYFAIR, NY
12303=ROTTERDAM, NY
12304=SCHENECTADY, NY
12305=SCHENECTADY, NY
12306=SCHENECTADY, NY
12307=SCHENECTADY, NY
12308=SCHENECTADY, NY
12309=NISKAYUNA, NY
12401=EDDYVILLE, NY
12404=ACCORD, NY
12405=ACRA, NY
12406=ARKVILLE, NY
12407=ASHLAND, NY
12409=SHADY, NY
12410=OLIVEREA, NY
12411=BLOOMINGTON, NY
12412=BOICEVILLE, NY
12413=CAIRO, NY
12414=CATSKILL, NY
12416=CHICHESTER, NY
12418=CORNWALLVILLE, NY
12419=COTTEKILL, NY
12421=DENVER, NY
12422=DURHAM, NY
12423=EAST DURHAM, NY
12424=EAST JEWETT, NY
12427=ELKA PARK, NY
12428=ELLENVILLE, NY
12430=HALCOTT CENTER, NY
12431=FREEHOLD, NY
12433=GLENFORD, NY
12434=GRAND GORGE, NY
12435=GREENFIELD PARK, NY
12439=EAST WINDHAM, NY
12440=HIGH FALLS, NY
12442=HUNTER, NY
12443=HURLEY, NY
12444=JEWETT, NY
12446=KERHONKSON, NY
12448=LAKE HILL, NY
12449=LAKE KATRINE, NY
12450=LANESVILLE, NY
12451=LEEDS, NY
12454=MAPLECREST, NY
12455=KELLY CORNERS, NY
12456=MOUNT MARION, NY
12457=MOUNT TREMPER, NY
12458=NAPANOCH, NY
12460=OAK HILL, NY
12461=KRUMVILLE, NY
12462=12462, NY
12463=PALENVILLE, NY
12464=PHOENICIA, NY
12465=PINE HILL, NY
12466=PORT EWEN, NY
12468=PRATTSVILLE, NY
12469=PRESTON HOLLOW, NY
12470=PURLING, NY
12472=ROSENDALE, NY
12473=ROUND TOP, NY
12474=ROXBURY, NY
12477=SAUGERTIES, NY
12480=SHANDAKEN, NY
12481=SHOKAN, NY
12482=SOUTH CAIRO, NY
12484=STONE RIDGE, NY
12485=TANNERSVILLE, NY
12486=TILLSON, NY
12487=ULSTER PARK, NY
12491=WEST HURLEY, NY
12492=WEST KILL, NY
12494=WEST SHOKAN, NY
12495=WILLOW, NY
12496=WINDHAM, NY
12498=WOODSTOCK, NY
12501=AMENIA, NY
12502=ANCRAM, NY
12503=ANCRAMDALE, NY
12507=BARRYTOWN, NY
12508=BEACON, NY
12513=CLAVERACK, NY
12514=CLINTON CORNERS, NY
12515=CLINTONDALE, NY
12516=COPAKE, NY
12517=COPAKE FALLS, NY
12518=CORNWALL, NY
12520=CORNWALL ON HUDS, NY
12521=CRARYVILLE, NY
12522=DOVER PLAINS, NY
12523=ELIZAVILLE, NY
12524=FISHKILL, NY
12525=GARDINER, NY
12526=GERMANTOWN, NY
12528=HIGHLAND, NY
12529=HILLSDALE, NY
12531=HOLMES, NY
12533=HOPEWELL JUNCTIO, NY
12534=HUDSON, NY
12538=HYDE PARK, NY
12540=LAGRANGEVILLE, NY
12542=MARLBORO, NY
12543=MAYBROOK, NY
12545=MILLBROOK, NY
12546=MILLERTON, NY
12547=MILTON, NY
12548=MODENA, NY
12549=MONTGOMERY, NY
12550=MIDDLE HOPE, NY
12553=NEW WINDSOR, NY
12561=MOHONK LAKE, NY
12563=PATTERSON, NY
12564=PAWLING, NY
12566=PINE BUSH, NY
12567=PINE PLAINS, NY
12569=PLEASANT VALLEY, NY
12570=POUGHQUAG, NY
12571=RED HOOK, NY
12572=RHINEBECK, NY
12575=ROCK TAVERN, NY
12577=SALISBURY MILLS, NY
12578=SALT POINT, NY
12580=STAATSBURG, NY
12581=STANFORDVILLE, NY
12582=STORMVILLE, NY
12583=TIVOLI, NY
12585=VERBANK, NY
12586=WALDEN, NY
12589=WALLKILL, NY
12590=NEW HAMBURG, NY
12592=WASSAIC, NY
12594=WINGDALE, NY
12601=SOUTH ROAD, NY
12603=ARLINGTON, NY
12701=MONTICELLO, NY
12719=BARRYVILLE, NY
12720=BETHEL, NY
12721=BLOOMINGBURG, NY
12723=CALLICOON, NY
12725=CLARYVILLE, NY
12726=FOSTERDALE, NY
12727=COCHECTON CENTER, NY
12729=CUDDEBACKVILLE, NY
12732=ELDRED, NY
12733=FALLSBURG, NY
12734=GROSSINGER, NY
12736=FREMONT CENTER, NY
12737=GLEN SPEY, NY
12738=GLEN WILD, NY
12739=GODEFFROY, NY
12740=GRAHAMSVILLE, NY
12741=MILESES, NY
12742=HARRIS, NY
12743=HIGHLAND LAKE, NY
12745=HORTONVILLE, NY
12746=HUGUENOT, NY
12747=HURLEYVILLE, NY
12748=JEFFERSONVILLE, NY
12750=KENOZA LAKE, NY
12751=KIAMESHA LAKE, NY
12752=LAKE HUNTINGTON, NY
12753=LEW BEACH, NY
12754=LIBERTY, NY
12758=LIVINGSTON MANOR, NY
12759=LOCH SHELDRAKE, NY
12760=LONG EDDY, NY
12762=MONGAUP VALLEY, NY
12763=MOUNTAIN DALE, NY
12764=NARROWSBURG, NY
12765=NEVERSINK, NY
12766=NORTH BRANCH, NY
12768=PARKSVILLE, NY
12770=POND EDDY, NY
12771=PORT JERVIS, NY
12775=ROCK HILL, NY
12776=COOK FALLS, NY
12777=FORESTBURGH, NY
12779=SOUTH FALLSBURG, NY
12780=SPARROWBUSH, NY
12782=SUNDOWN, NY
12783=SWAN LAKE, NY
12786=WHITE LAKE, NY
12787=WHITE SULPHUR SP, NY
12788=WOODBOURNE, NY
12789=WOODRIDGE, NY
12790=WURTSBORO, NY
12791=YOUNGSVILLE, NY
12792=YULAN, NY
12801=QUEENSBURY, NY
12803=SOUTH GLENS FALL, NY
12804=QUEENSBURY, NY
12808=ADIRONDACK, NY
12809=ARGYLE, NY
12810=ATHOL, NY
12812=BLUE MOUNTAIN LA, NY
12814=BOLTON LANDING, NY
12815=BRANT LAKE, NY
12816=CAMBRIDGE, NY
12817=CHESTERTOWN, NY
12819=CLEMONS, NY
12821=COMSTOCK, NY
12822=CORINTH, NY
12823=COSSAYUNA, NY
12824=DIAMOND POINT, NY
12826=EAST GREENWICH, NY
12827=FORT ANN, NY
12828=FORT EDWARD, NY
12831=GANSEVOORT, NY
12832=GRANVILLE, NY
12833=GREENFIELD CENTE, NY
12834=THOMSON, NY
12835=HADLEY, NY
12836=HAGUE, NY
12837=HAMPTON, NY
12838=HARTFORD, NY
12839=HUDSON FALLS, NY
12842=INDIAN LAKE, NY
12843=JOHNSBURG, NY
12844=PILOT KNOB, NY
12845=LAKE GEORGE, NY
12846=LAKE LUZERNE, NY
12847=LONG LAKE, NY
12849=MIDDLE GRANVILLE, NY
12850=MIDDLE GROVE, NY
12851=MINERVA, NY
12852=NEWCOMB, NY
12853=NORTH CREEK, NY
12854=NORTH GRANVILLE, NY
12855=NORTH HUDSON, NY
12857=OLMSTEDVILLE, NY
12858=PARADOX, NY
12859=PORTER CORNERS, NY
12860=POTTERSVILLE, NY
12861=PUTNAM STATION, NY
12863=ROCK CITY FALLS, NY
12865=SALEM, NY
12866=WILTON, NY
12870=SCHROON LAKE, NY
12871=SCHUYLERVILLE, NY
12872=SEVERANCE, NY
12873=SHUSHAN, NY
12874=SILVER BAY, NY
12878=STONY CREEK, NY
12883=TICONDEROGA, NY
12885=WARRENSBURG, NY
12886=WEVERTOWN, NY
12887=WHITEHALL, NY
12901=PLATTSBURGH, NY
12910=ALTONA, NY
12911=AU SABLE CHASM, NY
12912=AU SABLE FORKS, NY
12913=BLOOMINGDALE, NY
12914=BOMBAY, NY
12916=BRUSHTON, NY
12917=BURKE, NY
12918=CADYVILLE, NY
12919=CHAMPLAIN, NY
12920=CHATEAUGAY, NY
12921=CHAZY, NY
12922=CHILDWOLD, NY
12923=CHURUBUSCO, NY
12924=KEESEVILLE, NY
12926=CONSTABLE, NY
12928=CROWN POINT, NY
12930=DICKINSON CENTER, NY
12932=ELIZABETHTOWN, NY
12934=ELLENBURG CENTER, NY
12935=ELLENBURG DEPOT, NY
12936=ESSEX, NY
12937=FORT COVINGTON, NY
12938=NICHOLVILLE, NY
12941=JAY, NY
12942=KEENE, NY
12943=SAINT HUBERTS, NY
12944=KEESEVILLE, NY
12945=UPPER SAINT REGI, NY
12946=NORTH POLE, NY
12949=LAWRENCEVILLE, NY
12950=LEWIS, NY
12952=LYON MOUNTAIN, NY
12953=MALONE, NY
12955=MERRILL, NY
12956=MINEVILLE, NY
12957=MOIRA, NY
12958=MOOERS, NY
12959=MOOERS FORKS, NY
12960=MORIAH, NY
12961=MORIAH CENTER, NY
12962=MORRISONVILLE, NY
12964=NEW RUSSIA, NY
12965=NICHOLVILLE, NY
12966=BANGOR, NY
12967=NORTH LAWRENCE, NY
12968=ONCHIOTA, NY
12969=OWLS HEAD, NY
12970=PAUL SMITHS, NY
12972=PERU, NY
12973=PIERCEFIELD, NY
12974=PORT HENRY, NY
12978=REDFORD, NY
12979=ROUSES POINT, NY
12980=SAINT REGIS FALL, NY
12981=SARANAC, NY
12983=SARANAC LAKE, NY
12985=SCHUYLER FALLS, NY
12986=SUNMOUNT, NY
12987=UPPER JAY, NY
12989=VERMONTVILLE, NY
12992=WEST CHAZY, NY
12993=WESTPORT, NY
12994=WHALLONSBURG, NY
